ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
25545,120000,2,2,1,37,0,0,0,0,0,0,106469,108606,107945,111622,115301,117873,5400,4000,5500,5500,5500,1000,0
20243,20000,2,3,2,50,-1,0,0,0,0,0,19681,19968,19261,20184,17016,15725,1313,1481,1404,0,0,822,0
24078,140000,1,2,2,27,0,-1,-1,0,0,0,24048,1999,109104,110336,67197,67910,2014,110330,5012,5000,3000,5000,0
4317,10000,1,3,2,24,0,0,0,0,0,0,4050,5426,6743,8544,9858,1303,2000,2000,2000,2000,1000,0,0
8253,500000,1,1,2,34,0,0,0,0,0,0,8007,10556,14332,20393,22633,24318,3000,4000,6500,5000,2000,4000,0
5626,530000,2,1,2,39,0,0,0,0,0,0,439330,407763,364298,345867,346676,352736,17045,14089,11962,11763,12557,12496,0
14506,30000,2,2,1,49,2,0,0,0,2,2,23778,24507,25892,27366,26798,28321,1415,1800,2200,0,2500,0,0
507,500000,2,2,2,43,-1,-1,-1,0,0,-1,3959,0,285138,249445,222831,200,0,285138,4989,100,200,528666,0
5225,50000,1,2,2,22,2,2,2,0,0,0,50262,51040,35046,28893,28772,27521,2009,5,1200,2000,1100,3405,0
6326,50000,1,3,1,51,-1,-1,0,0,0,0,636,2228,3287,4843,6379,6878,4600,1500,2000,2000,1000,3000,0
18736,70000,2,1,2,25,1,2,2,2,2,2,53742,52281,55981,54484,59080,59096,0,4545,0,5500,2090,0,0
17928,10000,1,2,1,44,0,0,2,0,0,0,6696,9080,8794,9604,9604,9800,2668,0,1192,0,196,0,0
3042,50000,1,2,2,29,0,0,0,0,0,0,23469,23110,22792,20861,19116,15286,1437,1236,649,831,568,226,0
325,360000,2,2,2,32,0,0,0,0,0,0,93029,94054,91834,95631,100123,100738,10000,7000,10000,10000,10000,10000,0
10614,360000,1,2,1,26,-2,-1,-1,-2,-2,-2,0,2500,0,0,0,0,2500,0,0,0,0,0,0
15820,300000,2,1,2,27,1,-2,-2,-1,-1,-2,-2,-2,0,876,0,0,874,876,876,0,0,0,0
16315,130000,2,3,2,37,0,0,0,0,0,0,31280,32582,33328,34310,35059,44458,1813,1559,1541,1290,10000,1958,0
7677,40000,2,5,1,48,0,0,0,0,0,0,37896,40262,40370,39970,39970,0,3292,1400,0,0,0,0,0
599,80000,2,2,2,24,2,0,0,0,0,0,79243,75254,58683,58886,60035,57264,3249,3000,5000,2500,2300,2200,0
20153,260000,2,2,1,45,0,0,0,0,0,0,243952,224426,193708,163477,139993,133197,15521,10005,7000,5500,5000,4000,0
16972,50000,1,3,2,58,-1,0,0,0,0,0,14628,15638,16383,17837,15791,15988,1558,1303,1757,711,600,1500,0
3622,210000,2,2,1,36,0,0,0,0,0,0,54717,55522,54929,55696,54773,51616,2017,1900,1900,1925,1845,1886,0
3497,50000,2,1,2,23,0,0,0,0,0,0,50025,22656,19610,17801,18078,18137,1626,1581,1000,900,700,1000,0
26410,120000,2,2,1,39,-2,-2,-2,-2,-2,-2,280,6192,2134,0,0,0,6192,2142,0,0,0,0,0
3763,220000,2,2,1,37,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,3422,0
14534,20000,1,2,2,24,-1,0,0,0,0,-1,610,13222,13488,11818,12428,5965,13002,3000,0,1000,5965,0,0
18991,40000,2,2,1,32,0,0,0,0,0,0,40368,38623,67203,39764,39583,39839,1603,2000,2014,2503,2103,2221,0
12047,50000,1,2,2,25,0,0,0,0,0,0,47809,49040,29662,28360,28831,29487,2141,1763,1161,1077,1167,1004,0
102,380000,2,1,2,30,-2,-2,-1,0,0,0,-81,-303,32475,32891,33564,34056,223,33178,1171,1197,1250,5000,0
29242,20000,1,1,2,23,0,0,0,2,2,2,11819,12840,15416,15567,15022,16855,1524,3100,696,0,2237,0,0
4374,90000,2,1,1,36,-1,-1,-2,-2,-2,-1,9999,0,0,0,0,1980,0,0,0,0,1980,0,0
17937,50000,1,2,2,37,0,0,0,0,0,0,49473,48970,46220,47459,27056,28452,2314,2261,2500,2000,2000,1500,0
28695,100000,2,3,2,33,0,0,0,0,0,0,74847,70663,63794,60651,54664,51776,3000,3000,2700,2000,2000,2000,0
608,110000,2,1,2,24,0,0,0,0,2,0,40882,35428,39680,44097,42543,33189,2000,5000,5000,0,2000,3000,0
24860,200000,1,1,2,38,-1,-1,-1,-1,-2,-2,1488,4242,8235,0,0,0,4246,8511,0,0,0,2401,0
2625,500000,1,1,1,45,0,0,0,0,0,0,3136,2345,8471,7234,5828,1906,2002,7505,145,33,1150,300,0
13002,60000,2,1,2,26,-2,-2,-2,-2,-2,-2,0,-108,-216,-324,-432,-540,108,108,108,108,108,0,0
24321,780000,1,1,1,48,0,0,0,0,0,0,171459,178587,190663,195124,184872,191090,10000,15004,10000,8000,10028,7003,0
21224,90000,1,2,2,34,0,0,2,0,-1,-1,77846,50281,14033,12628,20172,73512,5700,0,2000,20172,73512,3000,0
12940,60000,2,2,1,45,0,-1,-1,0,0,0,56965,2495,57899,30345,30244,25474,3000,61000,3000,3000,3000,9000,0
797,230000,2,1,2,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
15338,400000,2,1,1,40,-1,-1,-1,-1,-1,-1,6376,4925,4382,1240,167621,3284,5949,4403,1250,168459,3301,11168,0
8405,100000,2,2,2,24,0,-1,-1,-1,-1,-1,13391,10577,8905,0,4290,0,10608,8944,200,4290,0,0,0
16304,500000,2,1,2,33,0,-1,-1,-1,0,-1,30267,14773,18129,18934,21687,16438,14773,18129,18941,16687,16438,415,0
2778,500000,1,1,1,55,-1,-1,-1,0,0,0,3925,11200,25509,9857,8945,9985,11253,25585,3,18,5034,5031,0
10969,200000,1,1,2,34,3,2,-1,-1,-1,-2,1571,361,1716,460,0,0,0,1716,460,0,0,0,1
7518,230000,2,1,2,36,-2,-2,-2,-2,-2,-2,0,0,0,1279,0,2794,0,0,1279,0,2794,0,0
24621,50000,1,2,1,32,0,0,0,0,0,0,11030,12048,13145,14160,14441,14743,1203,1300,1235,516,534,537,0
3007,160000,1,1,1,44,0,0,0,0,0,0,156400,157923,158746,153208,154163,155344,7200,8000,5510,5800,6000,5500,0
24675,30000,1,2,2,35,2,2,-2,-2,-2,-2,3462,-334,-1170,-1560,-1950,-1620,0,0,0,0,1620,900,1
26816,30000,1,2,1,32,0,0,0,2,0,0,22503,24802,29367,28108,26717,11693,3000,5000,0,1003,1000,1000,0
3476,20000,1,2,2,28,0,0,0,0,0,0,17973,17835,18795,18252,17589,17480,1318,1278,635,802,350,0,0
12130,50000,2,2,1,36,0,0,0,0,0,0,52136,50942,49715,21332,20096,18883,2218,2519,712,706,740,600,0
25437,360000,2,1,2,27,0,0,0,0,0,0,297275,307394,314534,289355,274484,247998,20000,15000,19355,10000,10000,10000,0
16042,50000,2,3,1,45,0,0,0,0,0,0,22352,23244,20791,22104,22237,22703,1324,1351,1664,797,825,1030,0
2052,50000,1,3,2,27,2,2,2,2,2,2,54529,53143,53782,50982,51740,49062,1800,3900,300,3400,0,4000,0
4779,50000,1,2,2,53,1,-1,-1,-1,0,-1,0,3333,0,8796,6346,3600,3333,0,8796,1000,4000,0,0
29279,160000,1,2,1,27,0,0,0,0,0,-2,112022,85788,67093,30166,0,0,4342,4017,2190,3990,0,0,1
15690,30000,1,2,2,22,0,0,0,0,0,0,4921,3810,3890,2199,2209,1429,1500,2000,2000,400,0,500,1
20383,50000,1,2,2,23,0,0,-2,-2,-2,-2,49276,0,0,0,0,0,0,0,0,0,0,0,0
1683,50000,1,1,2,24,0,0,0,0,0,0,50963,49720,50839,93436,46733,50925,1844,1963,2635,1750,5000,2160,0
15435,50000,1,2,2,25,0,0,-1,-1,0,0,48517,37071,5181,8548,50678,48220,5204,5196,8557,48011,2040,2121,0
113,280000,1,2,1,41,2,2,2,2,2,3,135673,138532,134813,144401,152174,149415,6500,0,14254,14850,0,5000,0
5581,220000,1,1,1,42,1,2,0,0,0,0,59932,57477,54788,54468,51920,49016,0,2421,1964,2000,2000,1600,0
22193,50000,2,2,1,31,0,0,0,0,0,-2,47800,50725,53518,4199,0,0,3725,2364,2398,0,0,17324,1
1275,150000,1,2,1,34,0,0,0,0,0,0,132214,135140,135263,137540,144786,146379,4414,4700,4306,10006,4822,4112,0
10943,60000,2,3,1,42,-1,-1,2,0,-1,-1,1570,21835,20680,390,390,14290,20680,0,0,390,14290,2892,1
21310,70000,1,1,1,60,0,0,0,0,0,0,69956,70688,68912,70652,50686,47093,2500,3300,3700,2100,2000,2300,0
22154,140000,2,2,1,30,0,0,0,0,0,0,13859,16229,16459,14753,13437,14745,5000,1286,1476,423,3000,1000,0
9183,50000,1,1,2,24,0,0,0,0,0,0,42058,35340,22110,19837,19855,20151,1367,1606,692,709,721,692,0
8955,150000,1,3,1,44,0,-1,-1,0,0,0,80015,19386,39008,19483,32901,8790,19418,40010,19,20000,0,13669,0
9196,30000,1,3,2,31,0,0,0,0,0,-2,27838,28791,27788,29784,0,0,1703,1200,2196,2500,0,0,1
9780,150000,2,1,2,25,0,0,0,0,-1,0,150562,148689,147296,144927,54116,6072,5196,3171,3699,69245,1030,0,0
2587,60000,1,3,2,34,0,0,0,0,0,0,35187,36236,37220,37963,38875,39184,1616,1600,1336,1500,1448,1157,1
1368,50000,1,3,2,22,0,0,0,0,0,0,42678,38239,22691,8807,7143,6967,1500,1100,1000,500,500,1000,1
1078,500000,1,1,2,35,-1,0,-1,-1,-1,0,172041,70011,12976,34469,27425,28506,58761,13976,34828,28289,18175,17500,0
11848,470000,2,2,1,35,0,0,0,0,0,0,218675,225519,230011,234639,239502,244328,8717,8000,6671,6882,6960,8751,0
11797,290000,1,2,1,44,-2,-2,-2,-2,-2,-2,167,616,640,526,336,527,619,643,528,337,529,696,1
24292,360000,1,1,2,31,1,-1,-1,-1,-1,-2,0,951,3760,752,0,0,951,3760,752,0,0,0,0
7403,250000,2,2,2,24,-1,-1,-1,0,0,-1,956,1339,2617,1817,975,1141,1339,2617,0,0,1141,1720,1
29743,230000,1,1,2,32,0,0,0,0,0,0,246764,239685,135520,102518,129195,101717,8316,10084,5091,70063,4037,5122,0
6202,260000,1,1,1,38,-1,-1,-1,-1,-1,-1,10448,1199,6675,1175,888,4186,1211,6818,1180,892,4207,6175,1
6490,250000,2,2,2,31,1,2,0,0,0,0,59878,58348,59530,60668,59786,130890,0,2150,2116,65,72460,5000,1
23676,340000,2,1,1,36,1,-1,-1,-1,-1,-1,0,544,4881,717,3785,10911,544,4881,717,3785,10911,10226,0
11984,100000,1,1,2,31,1,2,0,0,2,0,104395,101736,106101,54707,54924,52141,1867,1867,5026,2800,2800,2800,0
